annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
20244010;VENDREDI;02/02/2024;1;03/04/2024;13;42;27;23;20;9;5;-13-20-23-27-42-;-5-9-;0;0;0;0;0;171330,2;3;0;22881,5;26;0;536,4;320;0;79,5;647;0;34,1;800;0;26,3;7791;0;9,4;10909;0;8,4;24796;0;7,3;37026;0;5;137175;0;4,6;294031;0;3,6;0;0;13;220,5;158;10;291;5,4;3470;1,1;5006;2,1;17023;2,9;24894;9,3;63680;2;457429;2,5;VE 765 3773;;
20244009;MARDI   ;30/01/2024;3;31/03/2024;10;27;5;30;19;6;5;-5-10-19-27-30-;-5-6-;0;2;72274808;5;11;82195,8;9;22;9605,2;23;83;793;583;1933;62,7;742;3057;41,9;1055;3570;25,2;8526;36427;12,3;18841;68776;7,3;34448;129934;7,1;37108;167646;6,7;205864;806112;4,4;406104;1601176;3,5;3;674;12;134,8;231;8,7;331;6,1;3706;1,3;8189;1,6;16606;3,8;24563;12;89382;1,8;581723;2,5;SR 540 3822;;
20244008;VENDREDI;26/01/2024;Super Jackpot et tirages suivants;27/03/2024;32;19;41;8;42;12;9;-8-19-32-41-42-;-9-12-;0;0;0;1;9;146288,8;2;8;38463,8;14;51;1879,3;311;1288;137;552;2523;73,9;749;3026;43,3;8562;36883;17,7;13421;57510;12,7;33468;140388;9,7;47987;200543;8,2;202640;846899;6,1;519245;2087605;4;1;3136,7;7;358,4;139;22,5;270;11,6;4180;1,8;6274;3,3;23507;4,2;41128;11,1;94649;2,7;889755;2,5;RU 715 8901;;
20244007;MARDI   ;23/01/2024;1;24/03/2024;48;23;14;50;39;12;3;-14-23-39-48-50-;-3-12-;0;0;0;0;1;482958,1;1;2;56437,6;6;18;1953,2;77;451;143,6;192;917;74,6;217;1142;42,1;2702;13501;17,8;4140;21242;12,6;9611;48410;10,3;14015;68707;8,8;62707;315496;6;145252;725468;4,2;0;0;2;935,5;36;28,8;106;9,8;1400;1,8;2021;3,4;7392;4,4;12899;11,7;30850;2,7;308046;2,4;KR 537 5327;;
20244006;VENDREDI;19/01/2024;1;20/03/2024;50;27;28;48;44;7;12;-27-28-44-48-50-;-7-12-;0;1;17000000;2;3;215402,7;3;5;30205,9;4;27;1742,2;93;515;168,2;245;1212;75,5;213;1228;52,4;3796;17992;17,8;5215;26591;13,5;11314;59382;11,2;20856;97560;8,2;87987;414068;6,1;194364;952524;4,3;2;691,4;1;1106,3;45;30,7;130;10,6;1919;1,8;2609;3,5;10760;4;18046;11,1;42691;2,6;424081;2,3;QE 911 6397;;
20244005;MARDI   ;16/01/2024;7;17/03/2024;18;21;33;45;10;12;8;-10-18-21-33-45-;-8-12-;1;1;87952574;1;3;201336,7;3;22;6416,6;3;30;1465,6;195;858;94,4;255;1203;71,1;444;2054;29,2;3473;16758;17,9;6400;30461;11;16444;76506;8,1;17759;87790;8,6;85432;410612;5,8;222344;1035293;3,7;0;0;0;0;83;41,2;130;9,4;1664;1,8;2922;2,8;8645;4,4;13958;12,7;39974;2,5;328733;2,7;CU 208 5890;;
20244004;VENDREDI;12/01/2024;6;13/03/2024;18;16;17;49;45;9;12;-16-17-18-45-49-;-9-12-;0;0;0;1;3;281236,6;2;10;19718,8;11;41;1498;113;674;167,8;220;1434;83,4;261;1682;49,9;4109;22939;18,3;5882;33053;14,1;14725;78911;11;22153;125191;8,4;96983;531557;6,2;243520;1282524;4,1;1;1568,6;7;179,2;53;29,5;114;13,7;2071;1,8;2814;3,7;11446;4,3;18344;12,4;46653;2,7;427062;2,6;RT 208 4085;;
20244003;MARDI   ;09/01/2024;5;10/03/2024;12;9;2;39;40;3;1;-2-9-12-39-40-;-1-3-;0;0;0;0;1;563511,3;2;7;18814,5;1;19;2159;114;572;132,1;273;1256;63,6;289;1323;42,4;4040;19412;14,4;6042;27088;11,5;13125;60687;9,6;21005;100262;7;89360;407111;5,4;196450;904413;3,9;0;0;1;2091,8;58;20;109;10,6;1892;1,5;2837;2,7;9622;3,8;15703;10,8;41373;2,3;339112;2,4;LN 958 0675;;
20244002;VENDREDI;05/01/2024;4;06/03/2024;18;4;39;7;50;8;3;-4-7-18-39-50-;-3-8-;0;0;0;0;2;359048,5;1;7;23975,8;11;59;886;148;749;128,5;395;2001;50,8;322;1713;41,7;6457;32990;10,8;7715;35938;11,1;17076;77956;9,5;34807;166715;5,3;117380;538106;5,2;249222;1133782;4;0;0;4;697,5;62;25;183;8,4;2934;1,3;3543;2,9;15613;3,1;26334;8,5;54128;2,3;474691;2,3;SA 454 2143;;
20244001;MARDI   ;02/01/2024;3;03/03/2024;7;18;49;46;15;12;10;-7-15-18-46-49-;-10-12-;0;0;0;0;0;0;0;5;123090,6;2;6;6052,5;76;404;165,5;189;822;86;260;1142;43,5;2778;12774;19,4;4279;19434;14,2;12185;54361;9,4;14682;67547;9,2;65124;286826;6,8;192236;841787;3,7;0;0;1;1968,4;37;29,5;100;10,9;1372;1,9;2132;3,4;7238;4,7;11950;13,3;32149;2,8;272968;2,9;VM 156 4461;;
